epsilon,tau,kappa,lambda_ent,best_elbo,final_epoch,accuracy,cover_at_2,mean_feasible_rate,mean_CI_width_90,mean_entropy,time_sec
0.005,0.1,20,0.0,-867.8187255859375,200,0.7867015514295177,0.848349190887592,0.8431373337882345,0.25114835161665566,1.1498654842132232,29.26035523414612
0.005,0.1,20,0.05,-905.29345703125,200,0.7815445855982078,0.8510352584998986,0.8383669445566804,0.25314867588660556,1.1500139671444107,26.27841424942017
0.005,0.1,20,0.1,-898.5900268554688,200,0.789944605986041,0.8699836207027811,0.8446573293827284,0.25388088571310413,1.1533389182589526,25.89251017570496
0.005,0.1,20,0.2,-916.972412109375,200,0.7742935919313325,0.8349356015598519,0.7854390523903942,0.25367120070093097,1.1514593009964769,24.85202050209045
0.005,0.2,20,0.0,-928.887939453125,200,0.7879451044771897,0.8527676278833344,0.8600299026506166,0.25005868856864083,1.17022822675339,25.67371106147766
0.005,0.2,20,0.05,-885.62841796875,200,0.7664637532047959,0.8523305255586947,0.7660872237901706,0.25177151903497696,1.150332430535544,25.052547693252563
0.005,0.2,20,0.1,-878.54736328125,200,0.7779528274037822,0.8590546311152585,0.7904704432070881,0.25776561225749445,1.154729175109046,25.1353280544281
0.005,0.2,20,0.2,-945.406982421875,200,0.7414505435654414,0.8358769227835662,0.7841841162711268,0.25240416613540484,1.1388505004374905,24.91642928123474
0.005,0.3,20,0.0,-916.5061645507812,200,0.7535877467519826,0.8481493542307016,0.8011156317147902,0.25203160312947437,1.1482310887613452,24.88926100730896
0.005,0.3,20,0.05,-889.7337646484375,200,0.7503226312230314,0.8461068971086089,0.8329847235423958,0.252744470832895,1.143575290633936,24.83668255805969
0.005,0.3,20,0.1,-880.1232299804688,200,0.7808854315352545,0.86469646199998,0.8201687293542362,0.25245633926049127,1.1415893522602396,24.873724460601807
0.005,0.3,20,0.2,-912.74267578125,200,0.7650114291514326,0.8604941169409711,0.7961935880225,0.25320659765560816,1.149187812114823,26.953272581100464
0.01,0.1,20,0.0,-877.334228515625,200,0.7675480752284285,0.8596630781477321,0.7277672380228599,0.25470016653424915,1.1525795055570198,27.73670148849488
0.01,0.1,20,0.05,-911.239013671875,200,0.7771659792337724,0.8745804159536398,0.7806590246085718,0.25406345977413797,1.156633289555455,25.15429711341858
0.01,0.1,20,0.1,-893.7159423828125,200,0.7573043513877965,0.8455372462513046,0.7525016568130802,0.25162556924193086,1.1465651136063697,25.274770975112915
0.01,0.1,20,0.2,-896.8912963867188,200,0.7829321733530471,0.8539401268077915,0.816752097800381,0.25137403187495966,1.1507789625379203,25.14998817443848
0.01,0.2,20,0.0,-898.5800170898438,200,0.7720136725822512,0.8451702842841156,0.7207585784005786,0.25214626241664856,1.149821572594404,25.293022871017456
0.01,0.2,20,0.05,-834.9031372070312,200,0.7891222653915111,0.9040386162587055,0.797713852972783,0.25521257817652904,1.1443920300792232,25.08150243759156
0.01,0.2,20,0.1,-906.4742431640624,200,0.7905314431852639,0.9141925581517224,0.7986627272870074,0.25217932098458523,1.1523024540720594,25.093596935272217
0.01,0.2,20,0.2,-946.200439453125,200,0.8147603222274574,0.9218585316391331,0.7767393160977399,0.25236507316263435,1.16282141153502,25.02092957496643
0.01,0.3,20,0.0,-869.5845947265625,200,0.7717668947032162,0.8575846148868146,0.784504841100623,0.25434741779409914,1.1499840539164106,25.17172598838806
0.01,0.3,20,0.05,-919.66650390625,200,0.7706809494276236,0.8560131372192217,0.7473021956492386,0.25318087069345435,1.148879764193049,24.855641841888428
0.01,0.3,20,0.1,-911.153076171875,200,0.7506981380646944,0.8663152502829907,0.7458208147381351,0.25541776546002715,1.134009140307974,24.90254282951355
0.01,0.3,20,0.2,-855.297607421875,200,0.774056046450939,0.8539412775277964,0.6972474062182878,0.25109937309446284,1.1498311548262146,25.021101713180546
